纬度,经度,店名,类型,其他1,其他2,其他3
30.5281262,114.3491829,肯德基,fast_food,,,
30.5277516,114.3502495,星巴克,cafe,,,
30.5287089,114.3507405,绿茶餐厅,restaurant,,,
30.5285397,114.3513702,海底捞火锅,restaurant,,,
30.531818,114.3369835,海底捞火锅,restaurant,,,
30.5276842,114.3478044,麦当劳,fast_food,,,
30.5298263,114.3485078,麦当劳,fast_food,,,
30.5286997,114.3501108,汉堡王,fast_food,,,
30.5287681,114.3505259,矢量咖啡,cafe,,,
30.5292694,114.3486844,新世界百货,,mall,,
30.5320365,114.3368009,武商超市,,supermarket,,
30.532101,114.3486195,中百罗森,,convenience,,
30.5283872,114.3481579,7-Eleven,,convenience,,
30.5379866,114.346978,小洪山,,,station,
30.5592013,114.3518099,中南医院,,,station,
30.5477359,114.3382074,洪山路,,,station,
30.5245551,114.3907586,肯德基,fast_food,,,
30.5457196,114.3569127,提亚,cafe,,,
30.5293565,114.3531186,信息学部清真食堂,restaurant,,,
30.5308301,114.3537399,珞珈川味面馆,restaurant,,,
30.5325215,114.3527508,五洲餐厅,restaurant,,,
30.5294588,114.3551085,信息学部一教,,,,bus_stop
30.5301577,114.3538716,珞珈山综合商店,,supermarket,,
30.5174723,114.3447691,马房山,,,station,
30.5540078,114.3407458,水果湖,,,station,
30.54375,114.3530757,黄蜀郎鸡公煲,restaurant,,,
30.5283414,114.3521606,今天便利店,,convenience,,
30.5301533,114.3546728,初汀,restaurant,,,
30.5301538,114.354601,7-Eleven,,convenience,,
30.5301542,114.3545326,茶颜悦色,cafe,,,
30.5301551,114.3544107,古茗,cafe,,,
30.530303,114.3542628,霸王茶姬,cafe,,,
30.5302388,114.354259,中百罗森,,convenience,,
30.5317655,114.3550633,信息学部图书馆,,,,bus_stop
30.5396395,114.3573851,落英湖,,,,bus_stop
30.5394033,114.3616992,马克思主义学院,,,,bus_stop
30.5390587,114.3639144,枫园十四舍,,,,bus_stop
30.5397813,114.366933,枫园四舍,,,,bus_stop
30.5415473,114.3661901,法学院,,,,bus_stop
30.5440597,114.3561613,大创中心,,,,bus_stop
30.5301555,114.3543502,肯德基,fast_food,,,
30.5386346,114.3548274,文理学部五教,,,,bus_stop
30.5440806,114.3526793,重庆小面,restaurant,,,
30.5440767,114.3525504,宝岛小厨,restaurant,,,
30.5424073,114.3518991,派乐汉堡,fast_food,,,
30.5423664,114.351783,小胡鸭,restaurant,,,
30.5375115,114.3589811,瑞幸咖啡,cafe,,,
30.537618,114.3590414,茶颜悦色,cafe,,,
30.5377442,114.3591129,呷哺呷哺,restaurant,,,
30.5381247,114.3592851,7-Eleven,,convenience,,
30.538065,114.3592473,Tim Hortons,cafe,,,
30.5279949,114.3526438,小民大排档,restaurant,,,
30.5303034,114.3546648,九筒冒菜,restaurant,,,
30.5301561,114.3542573,瑞幸咖啡,cafe,,,
30.5303098,114.3567518,,,convenience,,
30.5319862,114.3347679,星巴克,cafe,,,
30.5322696,114.3541136,双子座甄品汇,,supermarket,,
30.5303033,114.3545438,钵钵鸡,restaurant,,,
30.5302438,114.3546099,刘长和手工粉面,restaurant,,,
30.5258428,114.3553798,,,,,bus_stop
30.5178035,114.3603398,华师东门,,,,bus_stop
30.5166057,114.351542,华师南门,,,,bus_stop
30.517169,114.3559206,华师大学生活动中心,,,,bus_stop
30.5609777,114.3311978,喜茶,cafe,,,
30.5584453,114.3375928,霸王茶姬,cafe,,,
30.5376209,114.3589075,梅园教工食堂,restaurant,,,
30.5193209,114.373898,武汉体育学院,,,station,
30.5303034,114.3547609,老乡鸡,restaurant,,,
30.5549324,114.3504372,医学部,,,,bus_stop
30.5450391,114.3553631,雅各楼,,,,bus_stop
30.5450978,114.3521047,伴糖咖啡,cafe,,,
30.5428727,114.3518621,中百罗森,,convenience,,
30.544891,114.3521304,校园商店,,convenience,,
30.5444554,114.3524498,爷爷不泡茶,cafe,,,
30.5331024,114.3513333,沙县小吃,restaurant,,,
30.5286823,114.3504921,星巴克,cafe,,,
30.528891,114.3508128,茶颜悦色,cafe,,,
30.5287701,114.350045,古茗,cafe,,,
30.5288328,114.3510438,火瀑椒麻火锅,restaurant,,,
30.5327278,114.3550221,星湖园餐厅,restaurant,,,
30.5381866,114.3590921,小肆川,restaurant,,,
30.5380274,114.3591118,饱立来,fast_food,,,
30.5388194,114.3575117,珞珈咖啡,cafe,,,
30.5420947,114.3568154,WHU1893,cafe,,,
30.541141,114.3595608,,,convenience,,
30.5377729,114.358811,自强超市,,supermarket,,
30.5362386,114.3536942,校大门,,,,bus_stop
30.5237508,114.3482435,武汉工学院,university,,,
30.5247044,114.3907654,蜜雪冰城,cafe,,,
30.5410761,114.3614968,,,convenience,,
30.529817,114.3529679,信息学部三食堂,restaurant,,,
30.5293605,114.3529769,信息学部四食堂,restaurant,,,
30.5307444,114.3536351,信息学部二食堂,restaurant,,,
30.5306058,114.3536349,信息学部一食堂,restaurant,,,
30.5303837,114.3467483,不焦虑咖啡,cafe,,,
30.5325346,114.3473846,肯德基,fast_food,,,
30.5325986,114.3474725,必胜客,restaurant,,,
30.5326676,114.3475672,永和大王,fast_food,,,
30.5331094,114.3479959,瑞幸咖啡,cafe,,,
30.5329614,114.3479709,茶颜悦色,cafe,,,
30.546595,114.3519383,中百罗森,,convenience,,
30.5443961,114.3520582,瑞幸咖啡,cafe,,,
30.5436829,114.3520978,川味坊,restaurant,,,
30.5438799,114.3606857,自强超市,,supermarket,,
30.5460239,114.3602346,茶百道,cafe,,,
30.5462786,114.3604779,星巴克,cafe,,,
30.546129,114.36022,喜茶,cafe,,,
30.5460337,114.360366,必胜客,restaurant,,,
30.5461377,114.3603532,遇见小面,restaurant,,,
30.5462445,114.3600658,库迪咖啡,cafe,,,
30.546267,114.3603372,赛百味,fast_food,,,
30.5460441,114.360506,麦当劳,fast_food,,,
30.5462558,114.3602024,袁记云饺,restaurant,,,
30.5454632,114.3591197,自强超市,,supermarket,,
30.5454722,114.360197,工学部一食堂,restaurant,,,
30.5454893,114.3604029,工学部二食堂,restaurant,,,
30.5455059,114.360602,工学部清真食堂,restaurant,,,
30.5408214,114.3534298,桂园二食堂,restaurant,,,
30.5408586,114.3536886,桂园一食堂,restaurant,,,
30.5327892,114.3548587,星园餐厅,restaurant,,,
